concept,vec_type,layer,coeff,num_sentences,num_trials,accuracy,correct_predictions,total_predictions,chance_level
Dust,avg,2,6.0,5,50,1.0,250,250,0.2
Dust,avg,2,10.0,5,50,0.804,201,250,0.2
Dust,avg,2,14.0,5,50,0.096,24,250,0.2
Dust,avg,2,18.0,5,50,0.076,19,250,0.2
Dust,last,2,6.0,5,50,0.976,244,250,0.2
Dust,last,2,10.0,5,50,0.848,212,250,0.2
Dust,last,2,14.0,5,50,0.536,134,250,0.2
Dust,last,2,18.0,5,50,0.256,64,250,0.2
Dust,last,5,6.0,5,50,0.856,214,250,0.2
Dust,last,5,10.0,5,50,0.544,136,250,0.2
Dust,last,5,14.0,5,50,0.276,69,250,0.2
Dust,last,5,18.0,5,50,0.272,68,250,0.2
Dust,avg,5,6.0,5,50,0.964,241,250,0.2
Dust,avg,5,10.0,5,50,0.856,214,250,0.2
Dust,avg,5,14.0,5,50,0.468,117,250,0.2
Dust,avg,5,18.0,5,50,0.212,53,250,0.2
Dust,last,8,6.0,5,50,0.62,155,250,0.2
Dust,last,8,10.0,5,50,0.56,140,250,0.2
Dust,last,8,14.0,5,50,0.1,25,250,0.2
Dust,last,8,18.0,5,50,0.032,8,250,0.2
Dust,avg,8,6.0,5,50,0.836,209,250,0.2
Dust,avg,8,10.0,5,50,0.304,76,250,0.2
Dust,avg,8,14.0,5,50,0.048,12,250,0.2
Dust,avg,8,18.0,5,50,0.004,1,250,0.2
Dust,last,11,6.0,5,50,0.532,133,250,0.2
Dust,last,11,10.0,5,50,0.62,155,250,0.2
Dust,last,11,14.0,5,50,0.332,83,250,0.2
Dust,last,11,18.0,5,50,0.056,14,250,0.2
Dust,avg,11,6.0,5,50,0.284,71,250,0.2
Dust,avg,11,10.0,5,50,0.06,15,250,0.2
Dust,avg,11,14.0,5,50,0.004,1,250,0.2
Dust,avg,11,18.0,5,50,0.0,0,250,0.2
Dust,avg,14,6.0,5,50,0.032,8,250,0.2
Dust,avg,14,10.0,5,50,0.008,2,250,0.2
Dust,avg,14,14.0,5,50,0.0,0,250,0.2
Dust,avg,14,18.0,5,50,0.004,1,250,0.2
Dust,last,14,6.0,5,50,0.236,59,250,0.2
Dust,last,14,10.0,5,50,0.228,57,250,0.2
Dust,last,14,14.0,5,50,0.12,30,250,0.2
Dust,last,14,18.0,5,50,0.044,11,250,0.2
Illusions,avg,2,6.0,5,50,0.784,196,250,0.2
Illusions,avg,2,10.0,5,50,0.68,170,250,0.2
Illusions,avg,2,14.0,5,50,0.456,114,250,0.2
Illusions,avg,2,18.0,5,50,0.328,82,250,0.2
Illusions,last,2,6.0,5,50,0.792,198,250,0.2
Illusions,last,2,10.0,5,50,0.78,195,250,0.2
Illusions,last,2,14.0,5,50,0.5,125,250,0.2
Illusions,last,2,18.0,5,50,0.284,71,250,0.2
Illusions,avg,5,6.0,5,50,0.948,237,250,0.2
Illusions,avg,5,10.0,5,50,0.684,171,250,0.2
Illusions,avg,5,14.0,5,50,0.44,110,250,0.2
Illusions,avg,5,18.0,5,50,0.272,68,250,0.2
Illusions,last,5,6.0,5,50,0.556,139,250,0.2
Illusions,last,5,10.0,5,50,0.8,200,250,0.2
Illusions,last,5,14.0,5,50,0.628,157,250,0.2
Illusions,last,5,18.0,5,50,0.496,124,250,0.2
Illusions,avg,8,6.0,5,50,0.796,199,250,0.2
Illusions,avg,8,10.0,5,50,0.264,66,250,0.2
Illusions,avg,8,14.0,5,50,0.036,9,250,0.2
Illusions,avg,8,18.0,5,50,0.004,1,250,0.2
Illusions,last,8,6.0,5,50,0.428,107,250,0.2
Illusions,last,8,10.0,5,50,0.528,132,250,0.2
Illusions,last,8,14.0,5,50,0.048,12,250,0.2
Illusions,last,8,18.0,5,50,0.008,2,250,0.2
Illusions,last,11,6.0,5,50,0.18,45,250,0.2
Illusions,last,11,10.0,5,50,0.044,11,250,0.2
Illusions,last,11,14.0,5,50,0.0,0,250,0.2
Illusions,last,11,18.0,5,50,0.004,1,250,0.2
Illusions,avg,11,6.0,5,50,0.148,37,250,0.2
Illusions,avg,11,10.0,5,50,0.004,1,250,0.2
Illusions,avg,11,14.0,5,50,0.004,1,250,0.2
Illusions,avg,11,18.0,5,50,0.0,0,250,0.2
Illusions,last,14,6.0,5,50,0.176,44,250,0.2
Illusions,last,14,10.0,5,50,0.14,35,250,0.2
Illusions,last,14,14.0,5,50,0.036,9,250,0.2
Illusions,last,14,18.0,5,50,0.024,6,250,0.2
Illusions,avg,14,6.0,5,50,0.02,5,250,0.2
Illusions,avg,14,10.0,5,50,0.004,1,250,0.2
Illusions,avg,14,14.0,5,50,0.0,0,250,0.2
Illusions,avg,14,18.0,5,50,0.0,0,250,0.2
